No,Date,Time,App,Type,TimeSpan,Problem,Situation,What,How
51,2021-05-13,18:32:00 PM,나무투자증권,기타,5,O,달러를 원화로 환전 시도,은행 업무 시간이 아니라 환전 실패,은행 업무 시간이 아님을 더 눈에 띄게 표시
52,2021-05-13,13:11:00 PM,나무투자증권,조회,3,X,보유 주식 주가 확인,예수금 출금 가능일자 확인이 번거로움,.
56,2021-05-15,23:53:21 PM,나무투자증권,조회,10,O,해외 주식 주가 확인,"수익률을 보여줄때도 있고, 절대적인 수익량을 보여줄 때도 있어 어느 경우에 어떤 걸 보여주는지 모호함",수익률을 보여주는 것으로 통일
57,2021-05-15,23:53:21 PM,나무투자증권,기타,10,O,해외 주식 구입 및 체결,"원하는 가격에 미체결 되었을 때, 걸어놓은 거래를 취소하고 다시 매수를 걸어야하는데, 이에 대한 설명이 없다",처음 사용하는 기능에 대한 가이드 라인 제공
71,2021-05-13,13:30,영웅문S,기타,5,O,은행 업무를 위해서 계좌 비밀번호를 입력하고자 하였음,숫자로만 이루어진 계좌 비밀번호임에도 입력창이 키보드로 나와서 입력시 실수를 유발함. 더불어 인증서 비밀번호 입력창과 똑같아 혼동을 일으킴,숫자로만 이루어진 비밀번호 입력시 숫자 키패드만 제시
72,2021-05-14,11:00,영웅문S,기타,5,O,보유하고 있는 주식을 추가 매수하고자 하였음,이미 보유하고 있는 주식의 경우 매도 버튼만 제시함.,매도와 매수 버튼 모두 제시
78,2021-05-20,9:10,영웅문S,기타,10,O,어플에 접속하려했으나 접속에 지속적으로 실패함,어떠한 이유로 접속에 실패하였는지 정확히 알려주지 않고 오류 코드를 알려주었으나 이마저도 검색되지 않았음,오류 발생 시 어떠한 이유로 오류가 발생하고 어떻게 조치해야하는지 알려줌
155,2021-05-13,10:00,미래에셋증권,이체,20,O,주식 계좌에 있는 돈을 타 계좌로 이체하고 싶음.,"증권/주식 계좌이다 보니, 홈페이지 화면과 메뉴탭에는 주식 관련된 내용만 많음. 따라서, 이체나 조회관련 항목은 비교적 제일 아래 위치하여 찾기 어려움",메뉴 탭을 더 큰 주제로 범주화했으면 좋겠음
156,2021-05-17,10:05,미래에셋증권,결제,5,O,특정 주식을 매도하려고 함,"매도를 한 후, 매도 가격에 대한 확인 정보를 보여주지 않음. 결제내역을 들어가서 확인해야 함",팝업창으로 매도 가격을 다시 한번 알려줬음 좋겠음
161,2021-05-14,15:37,삼성증권 mPOP,기타,22,O,카카오 주가 차트를 확인하고 매수주문을 넣고 싶은 상황,비밀번호 입력을 한 후 주문을 할 때에는 따로 인증 과정이 필요하지 않기 때문에 실수로 잘못 주문할 가능성이 있음,주문 실수를 방지하기 위해 비밀번호 입력 또는 지문인증 과정을 매수 버튼 누른 이후 하여야 함
162,2021-05-14,23:12,KB증권 M-Able,기타,30,O,보유 주식을 일부만 매도하고 싶은 상황,현재 보유하고 있는 수량에 대한 정보가 주어지지 않아 보유 수량보다 큰 주문을 해도 실패하기 전까지 알 방법이 없음,현재 보유 주 수에 대한 제약가 주어져야함
166,2021-05-17,11:18,KB증권 M-Able,기타,17,O,네이버 주식 차트를 조회하고 추가매수 하고싶은 상황,주식을 주문하기 위해 주문가격을 정하고 매수주문을 넣는 과정에 계좌 선택이 잘못 되었다는 안내가 명시적으로 되지 않음,모든 계좌의 잔액을 합쳐서 주문할 수 있는 방법 도입 / 계좌잔액보다 큰 금액을 입력할 수 없도록 하는 제약를 도입하여야 함
